各省	ge sheng 
浦东新区	pu dong xin qu 
有价证券	you jia zheng quan 
工资水平	gong zi shui ping 
逐步提高	zhu bu ti gao 
技术人员	ji shu ren yuan 
香港特别行政区政府	xiang gang te bie xing zheng qu zheng fu 
违约金	wei yue jin 
国家文物局	guo jia wen wu ju 
暂行办法	zan xing ban fa 
牡丹江市	mu dan jiang shi 
常务	chang wu 
以德	yi de 
业务量	ye wu liang 
补救	bu jiu 
甘德县	gan de xian 
快件	kuai jian 
行业性	hang ye xing 
人员	ren yuan 
今年	jin nian 
随着	sui zhe 
机电设备	ji dian she bei 
杂志社	za zhi she 
选择性	xuan ze xing 
乞讨	qi tao 
商品	shang pin 
税费	shui fei 
两块	liang kuai 
大理白族自治州	da li bai zu zi zhi zhou 
各司其职	ge si qi zhi 
担保	dan bao 
密切接触	mi qie jie chu 
所得税	suo de shui 
堤防	di fang 
提速	ti su 
哈长	ha zhang 
中国残疾人联合会	zhong guo can ji ren lian he hui 
官僚主义	guan liao zhu yi 
文化部	wen hua bu 
对经	dui jing 
农田水利工程	nong tian shui li gong cheng 
特长	te chang 
依次	yi ci 
配备	pei bei 
不可抗力	bu ke kang li 
限度	xian du 
章程	zhang cheng 
浓度	nong du 
重大	zhong da 
预备	yu bei 
实化	shi hua 
流入	liu ru 
上蔡县	shang cai xian 
电气化	dian qi hua 
分布	fen bu 
正风肃纪	zheng feng su ji 
发给	fa gei 
初步设计	chu bu she ji 
付款	fu kuan 
报备	bao bei 
工作会议	gong zuo hui yi 
奖励制度	jiang li zhi du 
国际贸易	guo ji mao yi 
泽普县	ze pu xian 
明显提高	ming xian ti gao 
视听	shi ting 
伊犁哈萨克自治州	yi li ha sa ke zi zhi zhou 
测量	ce liang 
改进	gai jin 
税银	shui yin 
小组	xiao zu 
中除	zhong chu 
用以	yong yi 
无人驾驶	wu ren jia shi 
组成部门	zu cheng bu men 
修建	xiu jian 
筹集	chou ji 
电话	dian hua 
特警	te jing 
文明	wen ming 
灌区	guan qu 
客户端	ke hu duan 
仲裁	zhong cai 
名誉	ming yu 
人才	ren cai 
印章	yin zhang 
运送	yun song 
食源性	shi yuan xing 
依存度	yi cun du 
军队	jun dui 
城际	cheng ji 
主动	zhu dong 
由该	you gai 
投资	tou zi 
日照市	ri zhao shi 
每日	mei ri 
第六批	di liu pi 
管理体制	guan li ti zhi 
在内	zai nei 
园地	yuan di 
长江经济带	chang jiang jing ji dai 
属地	shu di 
多边合作	duo bian he zuo 
群众反映	qun zhong fan ying 
再贴现	zai tie xian 
争议	zheng yi 
充分	chong fen 
医药	yi yao 
迟延	chi yan 
特权思想	te quan si xiang 
监督机制	jian du ji zhi 
科技界	ke ji jie 
建议	jian yi 
分中心	fen zhong xin 
大会	da hui 
运转	yun zhuan 
有助于	you zhu yu 
为辅	wei fu 
为民服务	wei min fu wu 
计费	ji fei 
三属	san shu 
坚守	jian shou 
冷冻	leng dong 
长阳土家族自治县	zhang yang tu jia zu zi zhi xian 
中央预算	zhong yang yu suan 
党员大会	dang yuan da hui 
安装	an zhuang 
现状	xian zhuang 
找准	zhao zhun 
体温	ti wen 
举一反三	ju yi fan san 
机构	ji gou 
建立健全	jian li jian quan 
淮安	huai an 
通风	tong feng 
短收	duan shou 
税种	shui zhong 
检讨	jian tao 
借机	jie ji 
法官	fa guan 
前款	qian kuan 
传导	chuan dao 
乳粉	ru fen 
林业部	lin ye bu 
商品流通	shang pin liu tong 
科技部	ke ji bu 
中应	zhong ying 
核减	he jian 
采访	cai fang 
外文	wai wen 
一种	yi zhong 
理性	li xing 
担负	dan fu 
拐卖	guai mai 
农田	nong tian 
浦东	pu dong 
严格控制	yan ge kong zhi 
总参谋部	zong can mou bu 
体制	ti zhi 
试验田	shi yan tian 
行动	xing dong 
创业投资	chuang ye tou zi 
不少	bu shao 
符合要求	fu he yao qiu 
海军	hai jun 
盲目	mang mu 
资源性	zi yuan xing 
洞庭湖	dong ting hu 
防护用品	fang hu yong pin 
论述	lun shu 
齐全	qi quan 
听证会	ting zheng hui 
危重症	wei zhong zheng 
混合	hun he 
见习	jian xi 
产出	chan chu 
小学教师	xiao xue jiao shi 
工程验收	gong cheng yan shou 
行政事业性	xing zheng shi ye xing 
验核	yan he 
工程学院	gong cheng xue yuan 
先进集体	xian jin ji ti 
惩戒	cheng jie 
务求	wu qiu 
谷物	gu wu 
宣传教育	xuan chuan jiao yu 
议价	yi jia 
执法	zhi fa 
民主协商	min zhu xie shang 
补正	bu zheng 
准备	zhun bei 
中小学	zhong xiao xue 
投融资	tou rong zi 
归档	gui dang 
观测	guan ce 
之策	zhi ce 
扫盲	sao mang 
国家发展改革委	guo jia fa zhan gai ge wei 
最高	zui gao 
暂时	zan shi 
国务院法制办	guo wu yuan fa zhi ban 
承德	cheng de 
伴生	ban sheng 
不需要	bu xu yao 
果业	guo ye 
水路	shui lu 
副研究员	fu yan jiu yuan 
需要	xu yao 
原则上	yuan ze shang 
业务	ye wu 
科长	ke zhang 
国家医药管理局	guo jia yi yao guan li ju 
重大贡献	zhong da gong xian 
调用	diao yong 
开发	kai fa 
埋头苦干	mai tou ku gan 
八级	ba ji 
不得	bu de 
广安区	guang an qu 
以其	yi qi 
严防	yan fang 
社会化	she hui hua 
代理师	dai li shi 
任务	ren wu 
治淮	zhi huai 
眉山市	mei shan shi 
防护	fang hu 
舆论监督	yu lun jian du 
促发展	cu fa zhan 
军区	jun qu 
侵华日军	qin hua ri jun 
县际间	xian ji jian 
宁波	ning bo 
振兴	zhen xing 
四川大学	si chuan da xue 
天地	tian di 
设计规范	she ji gui fan 
牵引	qian yin 
工作站	gong zuo zhan 
成效显著	cheng xiao xian zhu 
扶助	fu zhu 
发扬民主	fa yang min zhu 
疑似	yi si 
安全意识	an quan yi shi 
成才	cheng cai 
社区	she qu 
行政区	xing zheng qu 
公共财政	gong gong cai zheng 
北村	bei cun 
站位	zhan wei 
加价	jia jia 
检测	jian ce 
银川	yin chuan 
山岛	shan dao 
退休	tui xiu 
如需	ru xu 
格式	ge shi 
考查	kao cha 
纪念馆	ji nian guan 
剖析	pou xi 
任用干部	ren yong gan bu 
宜业	yi ye 
用来	yong lai 
货运	huo yun 
化学品	hua xue pin 
评先	ping xian 
拟设	ni she 
重大进展	zhong da jin zhan 
行署	xing shu 
间谍活动	jian die huo dong 
子女教育	zi nv jiao yu 
独生子女	du sheng zi nv 
心内科	xin nei ke 
损毁	sun hui 
清华大学	qing hua da xue 
海岛	hai dao 
烈度	lie du 
西藏	xi zang 
支出	zhi chu 
中科院	zhong ke yuan 
公报	gong bao 
预备役	yu bei yi 
发展观	fa zhan guan 
亏损	kui sun 
双边	shuang bian 
压制	ya zhi 
没有	mei you 
布依族	bu yi zu 
任用	ren yong 
申办	shen ban 
协会会长	xie hui hui zhang 
司机	si ji 
必要性	bi yao xing 
第二届	di er jie 
原则性	yuan ze xing 
信息安全	xin xi an quan 
下旬	xia xun 
填海	tian hai 
人群	ren qun 
白银市	bai yin shi 
坚强	jian qiang 
公平性	gong ping xing 
免费	mian fei 
干事	gan shi 
江门	jiang men 
低碳	di tan 
长江三角洲	chang jiang san jiao zhou 
打造	da zao 
运营	yun ying 
国庆节	guo qing jie 
和田市	he tian shi 
坚决反对	jian jue fan dui 
性别比	xing bie bi 
借调	jie diao 
重要	zhong yao 
国家海洋局	guo jia hai yang ju 
结果表明	jie guo biao ming 
财产	cai chan 
东华	dong hua 
二是	er shi 
库款	ku kuan 
社会科学	she hui ke xue 
仪器设备	yi qi she bei 
湿地	shi di 
储存	chu cun 
电子	dian zi 
内地	nei di 
不准	bu zhun 
纳西族	na xi zu 
文职人员	wen zhi ren yuan 
黑臭	hei chou 
众筹	zhong chou 
全国妇联	quan guo fu lian 
涵养	han yang 
聘期	pin qi 
自觉性	zi jue xing 
进展	jin zhan 
瑞金医院	rui jin yi yuan 
子村	zi cun 
增添	zeng tian 
使用费	shi yong fei 
方式	fang shi 
和平	he ping 
山南	shan nan 
乡下	xiang xia 
债权人	zhai quan ren 
完整	wan zheng 
停职检查	ting zhi jian cha 
斗争	dou zheng 
违纪	wei ji 
建筑师	jian zhu shi 
阻断	zu duan 
权重	quan zhong 
如下	ru xia 
进行批评	jin xing pi ping 
配电	pei dian 
体系化	ti xi hua 
投递	tou di 
大学生	da xue sheng 
来信	lai xin 
乡长	xiang chang 
到会	dao hui 
订单	ding dan 
情况通报	qing kuang tong bao 
高层建筑	gao ceng jian zhu 
默许	mo xu 
国家中医药管理局	guo jia zhong yi yao guan li ju 
血液	xue ye 
脱钩	tuo gou 
逆向	ni xiang 
院长	yuan zhang 
税务机关	shui wu ji guan 
陆上	lu shang 
联营	lian ying 
排查	pai cha 
贸易部	mao yi bu 
粮食市场	liang shi shi chang 
寿命	shou ming 
司法公正	si fa gong zheng 
奉节县	feng jie xian 
清远市	qing yuan shi 
热情	re qing 
期待	qi dai 
鄂温克族自治旗	e wen ke zu zi zhi qi 
紧急	jin ji 
农牧	nong mu 
几个	ji ge 
外出	wai chu 
存储	cun chu 
餐饮业	can yin ye 
代表大会	dai biao da hui 
容错	rong cuo 
身体素质	shen ti su zhi 
开拓	kai tuo 
党性	dang xing 
最后	zui hou 
边境贸易	bian jing mao yi 
江苏省政府	jiang su sheng zheng fu 
征缴	zheng jiao 
宏观经济	hong guan jing ji 
信丰县	xin feng xian 
年前	nian qian 
中华人民共和国海关	zhong hua ren min gong he guo hai guan 
吉安	ji an 
昆虫	kun chong 
两款	liang kuan 
政工	zheng gong 
严格执法	yan ge zhi fa 
渔业	yu ye 
达州市	da zhou shi 
五花	wu hua 
候补委员	hou bu wei yuan 
日益	ri yi 
盆地	pen di 
生态安全	sheng tai an quan 
非法	fei fa 
出发	chu fa 
接入	jie ru 
广大干部	guang da gan bu 
相互促进	xiang hu cu jin 
主任	zhu ren 
生物防治	sheng wu fang zhi 
与时俱进	yu shi ju jin 
法律法规	fa lv fa gui 
灾后	zai hou 
汇聚	hui ju 
国家外汇管理局	guo jia wai hui guan li ju 
统筹考虑	tong chou kao lv 
转发	zhuan fa 
大同市	da tong shi 
分工	fen gong 
钟山区	zhong shan qu 
监察部	jian cha bu 
划分	hua fen 
拐卖人口	guai mai ren kou 
多维度	duo wei du 
胸外科	xiong wai ke 
税收	shui shou 
进项税额	jin xiang shui e 
纲领	gang ling 
电子设备	dian zi she bei 
工商行政	gong shang hang zheng 
更改	geng gai 
火指挥	huo zhi hui 
倡议	chang yi 
严格监督	yan ge jian du 
江西	jiang xi 
办结	ban jie 
抗击	kang ji 
党的建设	dang de jian she 
中部战区总医院	zhong bu zhan qu zong yi yuan 
列明	lie ming 
烈属	lie shu 
湖南	hu nan 
恶劣	e lie 
国际标准	guo ji biao zhun 
赵家	zhao jia 
广泛应用	guang fan ying yong 
软硬件	ruan ying jian 
淮南市	huai nan shi 
前沿技术	qian yan ji shu 
多功能	duo gong neng 
互认	hu ren 
州市	zhou shi 
高尚	gao shang 
形式多样	xing shi duo yang 
首台	shou tai 
爆炸	bao zha 
利企	li qi 
果洛藏族自治州	guo luo zang zu zi zhi zhou 
转移性	zhuan yi xing 
选取	xuan qu 
专项资金	zhuan xiang zi jin 
专利审查	zhuan li shen cha 
领取	ling qu 
生物科技	sheng wu ke ji 
服务网	fu wu wang 
信仰	xin yang 
作物	zuo wu 
实招	shi zhao 
岳阳市	yue yang shi 
沅陵县	yuan ling xian 
数据库	shu ju ku 
新冠	xin guan 
办公厅	ban gong ting 
承运人	cheng yun ren 
纳污	na wu 
通办	tong ban 
评分	ping fen 
区域间	qu yu jian 
虚拟	xu ni 
存档	cun dang 
外汇	wai hui 
门诊部	men zhen bu 
管理模式	guan li mo shi 
晋城市	jin cheng shi 
提起诉讼	ti qi su song 
非因	fei yin 
舆情	yu qing 
不良影响	bu liang ying xiang 
保税区	bao shui qu 
拐卖妇女	guai mai fu nv 
陷入	xian ru 
乳业	ru ye 
东北三省	dong bei san sheng 
就业	jiu ye 
宣称	xuan cheng 
建设	jian she 
限时	xian shi 
物品	wu pin 
应聘	ying pin 
市场竞争	shi chang jing zheng 
新证	xin zheng 
国务院	guo wu yuan 
随机	sui ji 
征税	zheng shui 
专案组	zhuan an zu 
岗位责任	gang wei ze ren 
全额	quan e 
营利性	ying li xing 
引入	yin ru 
中山市	zhong shan shi 
根本任务	gen ben ren wu 
本溪市	ben xi shi 
商标权	shang biao quan 
逐步推进	zhu bu tui jin 
公有制	gong you zhi 
发电	fa dian 
变化	bian hua 
第项	di xiang 
张家	zhang jia 
恩施州	en shi zhou 
水土保持	shui tu bao chi 
科研	ke yan 
涉外工作	she wai gong zuo 
联防	lian fang 
港口	gang kou 
新动力	xin dong li 
联体	lian ti 
主管人员	zhu guan ren yuan 
顶层	ding ceng 
河口	he kou 
售假	shou jia 
全球性	quan qiu xing 
纪念	ji nian 
标志牌	biao zhi pai 
分配机制	fen pei ji zhi 
中标	zhong biao 
小规模	xiao gui mo 
理财	li cai 
实验区	shi yan qu 
县域	xian yu 
精品工程	jing pin gong cheng 
开源	kai yuan 
释放	shi fang 
生产总值	sheng chan zong zhi 
略有结余	lve you jie yu 
丝绸之路	si chou zhi lu 
完整性	wan zheng xing 
修缮	xiu shan 
小型	xiao xing 
鼓励类	gu li lei 
不良资产	bu liang zi chan 
国家教委	guo jia jiao wei 
渗透	shen tou 
大容量	da rong liang 
可操作性	ke cao zuo xing 
托幼	tuo you 
开放型经济	kai fang xing jing ji 
张店区	zhang dian qu 
副总	fu zong 
议事规则	yi shi gui ze 
法律援助	fa lv yuan zhu 
开放区	kai fang qu 
超载	chao zai 
输配电	shu pei dian 
摸底	mo di 
资格考试	zi ge kao shi 
委会	wei hui 
发动机	fa dong ji 
专利申请	zhuan li shen qing 
办展	ban zhan 
二类	er lei 
证券化	zheng quan hua 
专网	zhuan wang 
减排	jian pai 
控制线	kong zhi xian 
学前教育	xue qian jiao yu 
货物运输	huo wu yun shu 
第二十五条	di er shi wu tiao 
发掘	fa jue 
勾选	gou xuan 
机器	ji qi 
渝北区	yu bei qu 
亲清	qin qing 
正确引导	zheng que yin dao 
长远	chang yuan 
上海市人民政府	shang hai shi ren min zheng fu 
代县	dai xian 
八科	ba ke 
权籍	quan ji 
徒步	tu bu 
投资收益	tou zi shou yi 
台独	tai du 
定制	ding zhi 
部务	bu wu 
找错	zhao cuo 
尽上	jin shang 
申请人	shen qing ren 
判决	pan jue 
可回收	ke hui shou 
财政拨款	cai zheng bo kuan 
理想信念	li xiang xin nian 
郑州市	zheng zhou shi 
电子产品	dian zi chan pin 
诚信	cheng xin 
常住	chang zhu 
取得实效	qu de shi xiao 
平战结合	ping zhan jie he 
浸种	jin zhong 
停业	ting ye 
科学管理	ke xue guan li 
薪酬	xin chou 
下放	xia fang 
哈尼族	ha ni zu 
基层政权	ji ceng zheng quan 
本级	ben ji 
领跑者	ling pao zhe 
澳门特别行政区	ao men te bie xing zheng qu 
教育局	jiao yu ju 
国务院办公厅	guo wu yuan ban gong ting 
矿业权	kuang ye quan 
党内	dang nei 
油气田	you qi tian 
确需	que xu 
航空局	hang kong ju 
专项规划	zhuan xiang gui hua 
认同	ren tong 
十九	shi jiu 
依法治理	yi fa zhi li 
修法	xiu fa 
纠正	jiu zheng 
安保	an bao 
所有权	suo you quan 
你部	ni bu 
司法人员	si fa ren yuan 
原创性	yuan chuang xing 
链接	lian jie 
国光	guo guang 
受灾地区	shou zai di qu 
跟党走	gen dang zou 
民用	min yong 
有毒	you du 
必要条件	bi yao tiao jian 
提出	ti chu 
财政部门	cai zheng bu men 
所有	suo you 
议事	yi shi 
精神障碍	jing shen zhang ai 
设备	she bei 
岷县	min xian 
开封市	kai feng shi 
生物制品	sheng wu zhi pin 
推选	tui xuan 
简便	jian bian 
北京朝阳医院	bei jing zhao yang yi yuan 
抗震救灾	kang zhen jiu zai 
煤炭工业	mei tan gong ye 
同等待遇	tong deng dai yu 
收支平衡	shou zhi ping heng 
精简	jing jian 
赔偿	pei chang 
空置	kong zhi 
精密机械	jing mi ji xie 
警务	jing wu 
党日	dang ri 
首先	shou xian 
事关	shi guan 
盗窃	dao qie 
亿立方米	yi li fang mi 
中央党校	zhong yang dang xiao 
解决好	jie jue hao 
第十八条	di shi ba tiao 
灵活	ling huo 
技术咨询	ji shu zi xun 
转运	zhuan yun 
能量	neng liang 
直属	zhi shu 
蓝山县	lan shan xian 
页面	ye mian 
破除	po chu 
服务性	fu wu xing 
实践经验	shi jian jing yan 
签订	qian ding 
工程质量	gong cheng zhi liang 
较好	jiao hao 
识别	shi bie 
六个	liu ge 
南昌大学	nan chang da xue 
售粮	shou liang 
恪守	ke shou 
主骨架	zhu gu jia 
报告会	bao gao hui 
昭通市	zhao tong shi 
狠抓	hen zhua 
宜春市	yi chun shi 
移动源	yi dong yuan 
部队长	bu dui zhang 
领导小组	ling dao xiao zu 
悔改	hui gai 
易货贸易	yi huo mao yi 
主动性	zhu dong xing 
疏散	shu san 
湘西	xiang xi 
发展潜力	fa zhan qian li 
西岸	xi an 
真相	zhen xiang 
主干	zhu gan 
废塑料	fei su liao 
榕江县	rong jiang xian 
尺度	chi du 
芳烃	fang ting 
儿童	er tong 
规模宏大	gui mo hong da 
奶源	nai yuan 
摩托车	mo tuo che 
深入基层	shen ru ji ceng 
吸引外资	xi yin wai zi 
侦查	zhen cha 
发布	fa bu 
所在	suo zai 
配合	pei he 
基础性	ji chu xing 
养老	yang lao 
主办	zhu ban 
委托方	wei tuo fang 
捐赠	juan zeng 
付息	fu xi 
边疆地区	bian jiang di qu 
航空	hang kong 
饭店	fan dian 
红利	hong li 
热电	re dian 
集疏运	ji shu yun 
低于	di yu 
党和人民	dang he ren min 
省立医院	sheng li yi yuan 
尽保	jin bao 
提质	ti zhi 
新城	xin cheng 
日为	ri wei 
十堰市	shi yan shi 
新材料	xin cai liao 
器具	qi ju 
广电	guang dian 
扰乱	rao luan 
物联网	wu lian wang 
一病区	yi bing qu 
采选	cai xuan 
社会保障基金	she hui bao zhang ji jin 
地上	di shang 
大湾	da wan 
目标	mu biao 
控制中心	kong zhi zhong xin 
告知	gao zhi 
事务	shi wu 
管理所	guan li suo 
标本	biao ben 
国家卫生计生委	guo jia wei sheng ji sheng wei 
一致性	yi zhi xing 
中央书记处	zhong yang shu ji chu 
家电	jia dian 
协同	xie tong 
凭证	ping zheng 
依法严惩	yi fa yan cheng 
高法院	gao fa yuan 
职称评定	zhi cheng ping ding 
餐饮企业	can yin qi ye 
网络设施	wang luo she shi 
生活	sheng huo 
对应	dui ying 
操作	cao zuo 
编造	bian zao 
五是	wu shi 
华西	hua xi 
质量标准	zhi liang biao zhun 
渠道	qu dao 
转业	zhuan ye 
更好地	geng hao di 
计划单列	ji hua dan lie 
临沂	lin yi 
布局	bu ju 
保健	bao jian 
每季度	mei ji du 
年轻	nian qing 
超收	chao shou 
落到实处	luo dao shi chu 
职业教育	zhi ye jiao yu 
中国奥林匹克委员会	zhong guo ao lin pi ke wei yuan hui 
督查	du cha 
人员配备	ren yuan pei bei 
已经	yi jing 
快速反应	kuai su fan ying 
后台	hou tai 
张湾区	zhang wan qu 
白沙黎族自治县	bai sha li zu zi zhi xian 
工程设计	gong cheng she ji 
倾向	qing xiang 
标准化	biao zhun hua 
慈利县	ci li xian 
物流	wu liu 
能源科学	neng yuan ke xue 
委托	wei tuo 
严守	yan shou 
麻栗坡县	ma li po xian 
录入	lu ru 
处置权	chu zhi quan 
供热	gong re 
财务处	cai wu chu 
科工	ke gong 
预备党员	yu bei dang yuan 
世界贸易组织	shi jie mao yi zu zhi 
太平镇	tai ping zhen 
不正之风	bu zheng zhi feng 
中小企业	zhong xiao qi ye 
人民币	ren min bi 
评比	ping bi 
施工图	shi gong tu 
若干名	ruo gan ming 
中央团校	zhong yang tuan xiao 
加收	jia shou 
改善	gai shan 
内江市	nei jiang shi 
调水	diao shui 
提取	ti qu 
阳新县	yang xin xian 
精通	jing tong 
主要	zhu yao 
处所	chu suo 
适龄儿童	shi ling er tong 
物力	wu li 
中央八项规定	zhong yang ba xiang gui ding 
关联	guan lian 
攻坚	gong jian 
新疆军区	xin jiang jun qu 
不是	bu shi 
联办	lian ban 
参谋长	can mou zhang 
温度	wen du 
投入品	tou ru pin 
动态	dong tai 
犯罪行为	fan zui xing wei 
全力	quan li 
井冈山	jing gang shan 
逃生	tao sheng 
五证	wu zheng 
定西市	ding xi shi 
强军	qiang jun 
民主监督	min zhu jian du 
正部级	zheng bu ji 
储量	chu liang 
借助	jie zhu 
未向	wei xiang 
随时	sui shi 
严禁	yan jin 
转正	zhuan zheng 
例会	li hui 
省内	sheng nei 
职务	zhi wu 
上下级	shang xia ji 
湖区	hu qu 
